Week Number,Facility Name,Type,Level,Total Count,Facility Count,Facility Flair Mean ,Facility Flair 25%,Facility Flair 75%,Facility Flair Max,Facility Flair Min
58,Pleasant Valley,Prison,State,16,3,-0.958887815475464,-0.991567134857178,-0.9383490681648250,-0.893529176712036,-0.999965310096741
59,Pleasant Valley,Prison,State,11,1,-0.999851107597351,-0.999851107597351,-0.999851107597351,-0.999851107597351,-0.999851107597351
60,Pleasant Valley,Prison,State,26,4,-0.12869414687156700,-0.9992687106132510,0.646014541387558,0.934175968170166,-0.999832510948181
62,Pleasant Valley,Prison,State,12,2,-0.12175598740577700,-0.560049667954445,0.31653769314289100,0.754831373691559,-0.998343348503113
63,Pleasant Valley,Prison,State,24,1,-0.755464732646942,-0.755464732646942,-0.755464732646942,-0.755464732646942,-0.755464732646942
64,Pleasant Valley,Prison,State,12,2,-0.9961675405502320,-0.998024046421051,-0.994311034679413,-0.992454528808594,-0.99988055229187
58,NorthKern,Prison,State,16,1,0.584775924682617,0.584775924682617,0.584775924682617,0.584775924682617,0.584775924682617
58,Valley State,Prison,State,16,1,-0.999199092388153,-0.999199092388153,-0.999199092388153,-0.999199092388153,-0.999199092388153
59,Valley State,Prison,State,11,1,-0.999064862728119,-0.999064862728119,-0.999064862728119,-0.999064862728119,-0.999064862728119
60,Valley State,Prison,State,26,3,-0.9992335240046180,-0.9998868107795720,-0.9988886117935180,-0.997926950454712,-0.999923348426819
61,Valley State,Prison,State,4,2,-0.998270332813263,-0.9990360736846930,-0.9975045919418340,-0.996738851070404,-0.999801814556122
63,Valley State,Prison,State,24,2,-0.999980330467224,-0.999980628490448,-0.999980032444,-0.999979734420776,-0.999980926513672
64,Valley State,Prison,State,12,2,-0.19887229800224300,-0.5992665141820910,0.20152191817760400,0.601916134357452,-0.999660730361938
65,Valley State,Prison,State,11,3,-0.3449002703030900,-0.9966748952865600,-0.01740065217018090,0.958648979663849,-0.999899506568909
67,Valley State,Prison,State,12,2,-0.15081134438514700,-0.57050521671772,0.268882527947426,0.688576400279999,-0.990199089050293
69,Valley State,Prison,State,58,2,-0.999617874622345,-0.999703347682953,-0.9995324015617370,-0.999446928501129,-0.999788820743561
59,Delano,Prison,State,11,3,-0.9996821880340580,-0.999835878610611,-0.9995962381362920,-0.999374806880951,-0.99985408782959
68,Delano,Prison,State,51,1,-0.944581568241119,-0.944581568241119,-0.944581568241119,-0.944581568241119,-0.944581568241119
59,High Desert,Prison,State,11,1,0.802808463573456,0.802808463573456,0.802808463573456,0.802808463573456,0.802808463573456
60,High Desert,Prison,State,26,1,-0.99988853931427,-0.99988853931427,-0.99988853931427,-0.99988853931427,-0.99988853931427
61,High Desert,Prison,State,4,1,-0.994195818901062,-0.994195818901062,-0.994195818901062,-0.994195818901062,-0.994195818901062
